time,timestamp,checkoutservice_currencyservice,frontend_recommendationservice,frontend_checkoutservice,recommendationservice_productcatalogservice,checkoutservice_shippingservice,frontend_shippingservice,checkoutservice_cartservice,checkoutservice_emailservice,checkoutservice_productcatalogservice,frontend_adservice,frontend_productcatalogservice,frontend_cartservice,frontend_currencyservice,checkoutservice_paymentservice
2023-09-22 16:21:01.584269742 +0000 UTC m=+140623.287455446,1695399661,,,,100.0,,,,,,,100.0,100.0,100.0,
2023-09-22 16:22:01.618065709 +0000 UTC m=+140683.321251397,1695399721,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 16:23:01.583631501 +0000 UTC m=+140743.286817185,1695399781,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 16:24:01.655478008 +0000 UTC m=+140803.358663694,1695399841,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 16:25:01.663747799 +0000 UTC m=+140863.366933502,1695399901,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 16:26:01.740029367 +0000 UTC m=+140923.443215071,1695399961,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 16:27:01.765455348 +0000 UTC m=+140983.468641048,1695400021,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 16:28:01.339914022 +0000 UTC m=+141043.043099709,1695400081,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 16:29:01.59986766 +0000 UTC m=+141103.303053376,1695400141,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 16:30:01.816037078 +0000 UTC m=+141163.519222763,1695400201,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 16:31:01.513962935 +0000 UTC m=+141223.217148647,1695400261,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 16:32:01.997763775 +0000 UTC m=+141283.700949479,1695400321,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 16:33:01.639557766 +0000 UTC m=+141343.342743453,1695400381,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 16:34:01.738602651 +0000 UTC m=+141403.441788354,1695400441,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 16:35:01.738659605 +0000 UTC m=+141463.441845329,1695400501,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 16:36:01.651043421 +0000 UTC m=+141523.354229107,1695400561,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 16:37:01.638736213 +0000 UTC m=+141583.341921913,1695400621,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 16:38:01.753027318 +0000 UTC m=+141643.456213010,1695400681,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
