time,timestamp,frontend_recommendationservice,checkoutservice_emailservice,frontend_cartservice,checkoutservice_currencyservice,frontend_productcatalogservice,checkoutservice_productcatalogservice,checkoutservice_paymentservice,checkoutservice_cartservice,checkoutservice_shippingservice,frontend_checkoutservice,frontend_currencyservice,frontend_adservice,recommendationservice_productcatalogservice,frontend_shippingservice
2023-09-22 16:21:01.59428943 +0000 UTC m=+140623.297475116,1695399661,,,,,100.0,,,,,,100.0,,,
2023-09-22 16:22:01.629546245 +0000 UTC m=+140683.332731933,1695399721,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 16:23:01.596116599 +0000 UTC m=+140743.299302297,1695399781,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 16:24:01.666127319 +0000 UTC m=+140803.369312995,1695399841,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 16:25:01.67300662 +0000 UTC m=+140863.376192314,1695399901,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 16:26:01.751226559 +0000 UTC m=+140923.454412244,1695399961,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 16:27:01.773459555 +0000 UTC m=+140983.476645253,1695400021,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 16:28:01.350193197 +0000 UTC m=+141043.053378901,1695400081,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 16:29:01.60842291 +0000 UTC m=+141103.311608592,1695400141,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 16:30:01.826928398 +0000 UTC m=+141163.530114115,1695400201,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 16:31:01.52849833 +0000 UTC m=+141223.231684007,1695400261,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 16:32:02.008363841 +0000 UTC m=+141283.711549535,1695400322,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 16:33:01.649100302 +0000 UTC m=+141343.352285998,1695400381,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 16:34:01.749307239 +0000 UTC m=+141403.452492929,1695400441,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 16:35:01.749884667 +0000 UTC m=+141463.453070364,1695400501,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 16:36:01.663874316 +0000 UTC m=+141523.367060004,1695400561,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 16:37:01.648812471 +0000 UTC m=+141583.351998202,1695400621,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 16:38:01.761765502 +0000 UTC m=+141643.464951191,1695400681,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 16:39:01.676616401 +0000 UTC m=+141703.379802115,1695400741,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 16:40:01.965018949 +0000 UTC m=+141763.668204644,1695400801,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.8021978021978,100.0,100.0
2023-09-22 16:41:01.581128453 +0000 UTC m=+141823.284314145,1695400861,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.12345679012344,100.0,100.0
2023-09-22 16:42:01.762262308 +0000 UTC m=+141883.465447995,1695400921,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.9090909090909,100.0,100.0
2023-09-22 16:43:01.757772385 +0000 UTC m=+141943.460958092,1695400981,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.66666666666669,100.0,100.0
2023-09-22 16:44:01.775883679 +0000 UTC m=+142003.479069389,1695401041,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.59259259259258,100.0,100.0
2023-09-22 16:45:01.882756162 +0000 UTC m=+142063.585941865,1695401101,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.9090909090909,100.0,100.0
2023-09-22 16:46:01.679652618 +0000 UTC m=+142123.382838305,1695401161,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,86.58536585365853,100.0,100.0
2023-09-22 16:47:02.746614577 +0000 UTC m=+142184.449800281,1695401222,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.40506329113926,100.0,100.0
2023-09-22 16:48:01.833895527 +0000 UTC m=+142243.537081237,1695401281,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.2528735632184,100.0,100.0
2023-09-22 16:49:01.578677105 +0000 UTC m=+142303.281862799,1695401341,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.67088607594938,100.0,100.0
2023-09-22 16:50:01.49648317 +0000 UTC m=+142363.199668861,1695401401,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.59036144578312,100.0,100.0
2023-09-22 16:51:01.85753984 +0000 UTC m=+142423.560725543,1695401461,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.34146341463415,100.0,100.0
2023-09-22 16:52:01.964136769 +0000 UTC m=+142483.667322486,1695401521,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.66666666666669,100.0,100.0
2023-09-22 16:53:01.647471212 +0000 UTC m=+142543.350656915,1695401581,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.13483146067415,100.0,100.0
2023-09-22 16:54:01.260542225 +0000 UTC m=+142602.963727930,1695401641,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,86.36363636363636,100.0,100.0
