time,timestamp,frontend_recommendationservice,checkoutservice_emailservice,frontend_cartservice,checkoutservice_currencyservice,frontend_productcatalogservice,checkoutservice_productcatalogservice,checkoutservice_paymentservice,checkoutservice_cartservice,checkoutservice_shippingservice,frontend_checkoutservice,frontend_currencyservice,frontend_adservice,recommendationservice_productcatalogservice,frontend_shippingservice
2023-09-22 21:10:01.980213229 +0000 UTC m=+157963.683398913,1695417001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 21:11:01.495146304 +0000 UTC m=+158023.198331990,1695417061,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 21:12:01.639617642 +0000 UTC m=+158083.342803361,1695417121,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 21:13:01.602560557 +0000 UTC m=+158143.305746242,1695417181,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 21:14:01.578880057 +0000 UTC m=+158203.282065756,1695417241,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 21:15:01.525471334 +0000 UTC m=+158263.228657038,1695417301,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 21:16:01.503747971 +0000 UTC m=+158323.206933654,1695417361,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 21:17:02.072935469 +0000 UTC m=+158383.776121168,1695417422,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 21:18:01.662942008 +0000 UTC m=+158443.366127714,1695417481,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 21:19:01.631037584 +0000 UTC m=+158503.334223298,1695417541,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 21:20:01.772250387 +0000 UTC m=+158563.475436072,1695417601,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 21:21:01.625656033 +0000 UTC m=+158623.328841739,1695417661,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 21:22:01.591476283 +0000 UTC m=+158683.294661967,1695417721,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 21:23:01.916671691 +0000 UTC m=+158743.619857390,1695417781,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 21:24:01.779084456 +0000 UTC m=+158803.482270159,1695417841,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 21:25:01.70884278 +0000 UTC m=+158863.412028473,1695417901,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 21:26:02.181758053 +0000 UTC m=+158923.884943780,1695417962,100.0,66.66666666666666,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 21:27:01.730127294 +0000 UTC m=+158983.433313000,1695418021,100.0,60.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 21:28:01.705567225 +0000 UTC m=+159043.408752929,1695418081,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 21:29:01.833208782 +0000 UTC m=+159103.536394467,1695418141,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 21:30:01.757920274 +0000 UTC m=+159163.461105964,1695418201,100.0,50.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 21:31:01.531066964 +0000 UTC m=+159223.234252650,1695418261,100.0,66.66666666666666,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 21:32:01.982367515 +0000 UTC m=+159283.685553209,1695418321,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 21:33:01.898640292 +0000 UTC m=+159343.601825998,1695418381,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 21:34:01.372364784 +0000 UTC m=+159403.075550506,1695418441,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 21:35:01.756216027 +0000 UTC m=+159463.459401712,1695418501,100.0,50.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 21:36:01.601744827 +0000 UTC m=+159523.304930518,1695418561,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 21:37:01.926595944 +0000 UTC m=+159583.629781648,1695418621,100.0,33.33333333333333,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 21:38:01.788710361 +0000 UTC m=+159643.491896066,1695418681,100.0,75.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 21:39:01.839699951 +0000 UTC m=+159703.542885637,1695418741,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 21:40:01.748533457 +0000 UTC m=+159763.451719142,1695418801,100.0,66.66666666666666,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 21:41:01.649636418 +0000 UTC m=+159823.352822102,1695418861,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 21:42:01.698160334 +0000 UTC m=+159883.401346019,1695418921,100.0,50.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 21:43:02.068888035 +0000 UTC m=+159943.772073743,1695418982,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 21:44:01.845415554 +0000 UTC m=+160003.548601264,1695419041,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 21:45:01.678631497 +0000 UTC m=+160063.381817183,1695419101,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 21:46:01.893346608 +0000 UTC m=+160123.596532316,1695419161,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 21:47:01.97651531 +0000 UTC m=+160183.679701013,1695419221,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,77.7777777777778,100.0,100.0,100.0,100.0
