time,timestamp,frontend_productcatalogservice,recommendationservice_productcatalogservice,checkoutservice_emailservice,frontend_cartservice,frontend_currencyservice,frontend_shippingservice,checkoutservice_currencyservice,checkoutservice_productcatalogservice,checkoutservice_shippingservice,frontend_recommendationservice,frontend_adservice,frontend_checkoutservice,checkoutservice_cartservice,checkoutservice_paymentservice
2023-09-24 02:58:01.060882981 +0000 UTC m=+91598.028957263,1695524281,100.0,100.0,,100.0,100.0,100.0,,,,100.0,100.0,,,
2023-09-24 02:59:01.277624589 +0000 UTC m=+91658.245698839,1695524341,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:00:01.150027888 +0000 UTC m=+91718.118102132,1695524401,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:01:01.336954809 +0000 UTC m=+91778.305029070,1695524461,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:02:01.273815335 +0000 UTC m=+91838.241889575,1695524521,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:03:00.82771869 +0000 UTC m=+91897.795792929,1695524580,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:04:00.860261896 +0000 UTC m=+91957.828336133,1695524640,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:05:00.910983833 +0000 UTC m=+92017.879058071,1695524700,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:06:01.138526726 +0000 UTC m=+92078.106600966,1695524761,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:07:00.953356156 +0000 UTC m=+92137.921430413,1695524820,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:08:00.899333783 +0000 UTC m=+92197.867408020,1695524880,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:09:01.254536058 +0000 UTC m=+92258.222610297,1695524941,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:10:01.172502925 +0000 UTC m=+92318.140577165,1695525001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:11:01.510497568 +0000 UTC m=+92378.478571807,1695525061,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:12:01.137819883 +0000 UTC m=+92438.105894120,1695525121,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:13:01.07709479 +0000 UTC m=+92498.045169051,1695525181,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:14:01.033279857 +0000 UTC m=+92558.001354096,1695525241,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:15:01.384528601 +0000 UTC m=+92618.352602848,1695525301,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:16:01.416895913 +0000 UTC m=+92678.384970166,1695525361,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:17:01.189869269 +0000 UTC m=+92738.157943511,1695525421,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:18:01.281056434 +0000 UTC m=+92798.249130702,1695525481,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:19:01.353668412 +0000 UTC m=+92858.321742667,1695525541,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:20:01.386217938 +0000 UTC m=+92918.354292184,1695525601,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:21:01.058421258 +0000 UTC m=+92978.026495507,1695525661,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:22:01.386348747 +0000 UTC m=+93038.354422992,1695525721,,,,,,,,,,,,,,
2023-09-24 03:23:01.202656838 +0000 UTC m=+93098.170731080,1695525781,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:24:01.264181635 +0000 UTC m=+93158.232255874,1695525841,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:25:00.947044039 +0000 UTC m=+93217.915118285,1695525900,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:26:01.161935019 +0000 UTC m=+93278.130009257,1695525961,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:27:00.94413751 +0000 UTC m=+93337.912211767,1695526020,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:28:01.380930921 +0000 UTC m=+93398.349005161,1695526081,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:29:01.119469978 +0000 UTC m=+93458.087544217,1695526141,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:30:00.960097639 +0000 UTC m=+93517.928171878,1695526200,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:31:01.011294633 +0000 UTC m=+93577.979368879,1695526261,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:32:01.058021295 +0000 UTC m=+93638.026095561,1695526321,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:33:01.298671963 +0000 UTC m=+93698.266746200,1695526381,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:34:01.413689629 +0000 UTC m=+93758.381763867,1695526441,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:35:00.971584723 +0000 UTC m=+93817.939658960,1695526500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:36:01.019488829 +0000 UTC m=+93877.987563064,1695526561,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:37:00.870257442 +0000 UTC m=+93937.838331681,1695526620,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:38:01.253198017 +0000 UTC m=+93998.221272254,1695526681,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:39:01.162778449 +0000 UTC m=+94058.130852690,1695526741,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:40:00.945858955 +0000 UTC m=+94117.913933203,1695526800,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:41:01.218088095 +0000 UTC m=+94178.186162339,1695526861,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:42:01.390340476 +0000 UTC m=+94238.358414726,1695526921,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:43:01.285363741 +0000 UTC m=+94298.253438015,1695526981,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:44:01.263519214 +0000 UTC m=+94358.231593452,1695527041,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:45:01.201437622 +0000 UTC m=+94418.169511858,1695527101,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:46:00.986627424 +0000 UTC m=+94477.954701667,1695527160,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:47:01.353931998 +0000 UTC m=+94538.322006237,1695527221,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:48:01.084605049 +0000 UTC m=+94598.052679287,1695527281,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:49:01.243774705 +0000 UTC m=+94658.211848944,1695527341,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:50:01.052181264 +0000 UTC m=+94718.020255502,1695527401,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:51:01.002789697 +0000 UTC m=+94777.970863945,1695527461,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:52:01.302416984 +0000 UTC m=+94838.270491237,1695527521,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:53:01.010819984 +0000 UTC m=+94897.978894223,1695527581,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:54:01.305337769 +0000 UTC m=+94958.273412028,1695527641,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:55:01.509004592 +0000 UTC m=+95018.477078829,1695527701,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:56:01.16538419 +0000 UTC m=+95078.133458448,1695527761,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:57:01.229476589 +0000 UTC m=+95138.197550837,1695527821,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:58:00.98511677 +0000 UTC m=+95197.953191008,1695527880,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 03:59:01.535815431 +0000 UTC m=+95258.503889669,1695527941,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 04:00:00.97951804 +0000 UTC m=+95317.947592279,1695528000,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 04:01:01.259133777 +0000 UTC m=+95378.227208016,1695528061,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 04:02:01.113852984 +0000 UTC m=+95438.081927226,1695528121,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 04:03:01.17520894 +0000 UTC m=+95498.143283206,1695528181,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 04:04:01.089416176 +0000 UTC m=+95558.057490423,1695528241,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 04:05:01.268032494 +0000 UTC m=+95618.236106739,1695528301,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 04:06:01.167119877 +0000 UTC m=+95678.135194114,1695528361,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 04:07:01.430968034 +0000 UTC m=+95738.399042279,1695528421,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 04:08:00.979709598 +0000 UTC m=+95797.947783837,1695528480,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 04:09:01.282772318 +0000 UTC m=+95858.250846575,1695528541,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 04:10:00.934104434 +0000 UTC m=+95917.902178699,1695528600,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-24 04:11:01.186094105 +0000 UTC m=+95978.154168344,1695528661,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
