time,timestamp,checkoutservice_currencyservice,frontend_recommendationservice,frontend_checkoutservice,recommendationservice_productcatalogservice,checkoutservice_shippingservice,frontend_shippingservice,checkoutservice_cartservice,checkoutservice_emailservice,checkoutservice_productcatalogservice,frontend_adservice,frontend_productcatalogservice,frontend_cartservice,frontend_currencyservice,checkoutservice_paymentservice
2023-09-22 21:50:01.799390508 +0000 UTC m=+160363.502576220,1695419401,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 21:51:02.172627776 +0000 UTC m=+160423.875813479,1695419462,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 21:52:01.520283031 +0000 UTC m=+160483.223468734,1695419521,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 21:53:01.522960221 +0000 UTC m=+160543.226145919,1695419581,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 21:54:01.724159062 +0000 UTC m=+160603.427344754,1695419641,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 21:55:01.895372952 +0000 UTC m=+160663.598558656,1695419701,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 21:56:01.693102462 +0000 UTC m=+160723.396288167,1695419761,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 21:57:01.962920181 +0000 UTC m=+160783.666105866,1695419821,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 21:58:02.137551696 +0000 UTC m=+160843.840737400,1695419882,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 21:59:01.628550571 +0000 UTC m=+160903.331736275,1695419941,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 22:00:01.777061233 +0000 UTC m=+160963.480246919,1695420001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 22:01:01.774571078 +0000 UTC m=+161023.477756802,1695420061,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 22:02:01.788172336 +0000 UTC m=+161083.491358032,1695420121,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 22:03:02.22414528 +0000 UTC m=+161143.927330998,1695420182,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 22:04:01.641185513 +0000 UTC m=+161203.344371217,1695420241,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 22:05:01.697676781 +0000 UTC m=+161263.400862492,1695420301,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 22:06:01.869528116 +0000 UTC m=+161323.572713830,1695420361,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 22:07:01.940240266 +0000 UTC m=+161383.643425969,1695420421,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 22:08:01.970174805 +0000 UTC m=+161443.673360508,1695420481,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 22:09:01.734338824 +0000 UTC m=+161503.437524528,1695420541,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 22:10:01.661124774 +0000 UTC m=+161563.364310490,1695420601,100.0,100.0,50.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 22:11:01.891546436 +0000 UTC m=+161623.594732116,1695420661,100.0,100.0,50.00000000000002,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 22:12:01.572151063 +0000 UTC m=+161683.275336749,1695420721,100.0,100.0,60.00000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 22:13:02.114558074 +0000 UTC m=+161743.817743779,1695420782,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 22:14:01.773299624 +0000 UTC m=+161803.476485329,1695420841,100.0,100.0,54.54545454545454,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 22:15:02.262993423 +0000 UTC m=+161863.966179126,1695420902,100.0,100.0,61.53846153846153,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 22:16:01.924141658 +0000 UTC m=+161923.627327363,1695420961,100.0,100.0,60.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 22:17:02.079063262 +0000 UTC m=+161983.782248966,1695421022,100.0,100.0,77.7777777777778,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 22:18:01.982042837 +0000 UTC m=+162043.685228540,1695421081,100.0,100.0,50.00000000000002,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 22:19:02.105471245 +0000 UTC m=+162103.808656930,1695421142,100.0,100.0,81.81818181818183,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 22:20:02.244757606 +0000 UTC m=+162163.947943295,1695421202,100.0,100.0,64.28571428571429,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 22:21:01.972654286 +0000 UTC m=+162223.675839994,1695421261,100.0,100.0,93.75,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 22:22:02.382562925 +0000 UTC m=+162284.085748631,1695421322,100.0,100.0,58.33333333333334,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 22:23:01.961908791 +0000 UTC m=+162343.665094480,1695421381,100.0,100.0,50.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 22:24:01.694921655 +0000 UTC m=+162403.398107359,1695421441,100.0,100.0,60.00000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 22:25:01.821207872 +0000 UTC m=+162463.524393561,1695421501,100.0,100.0,40.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 22:26:01.900414705 +0000 UTC m=+162523.603600390,1695421561,100.0,100.0,35.714285714285715,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 22:27:02.221620093 +0000 UTC m=+162583.924805797,1695421622,100.0,100.0,40.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 22:28:01.838988875 +0000 UTC m=+162643.542174593,1695421681,100.0,100.0,37.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 22:29:01.828974735 +0000 UTC m=+162703.532160420,1695421741,100.0,100.0,64.28571428571429,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 22:30:02.122451735 +0000 UTC m=+162763.825637421,1695421802,100.0,100.0,12.499999999999995,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
2023-09-22 22:31:01.86489852 +0000 UTC m=+162823.568084225,1695421861,100.0,100.0,30.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 22:32:01.834825922 +0000 UTC m=+162883.538011607,1695421921,,100.0,0.0,100.0,100.0,100.0,100.0,,100.0,,100.0,100.0,100.0,
