time,timestamp,checkoutservice_shippingservice,checkoutservice_emailservice,frontend_recommendationservice,frontend_checkoutservice,checkoutservice_currencyservice,checkoutservice_cartservice,frontend_cartservice,frontend_productcatalogservice,frontend_shippingservice,checkoutservice_productcatalogservice,frontend_currencyservice,checkoutservice_paymentservice,frontend_adservice,recommendationservice_productcatalogservice
2023-09-23 12:05:24.381712245 +0000 UTC m=+38041.349786493,1695470724,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:06:24.750381554 +0000 UTC m=+38101.718455818,1695470784,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:07:24.353285138 +0000 UTC m=+38161.321359377,1695470844,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:08:24.318741596 +0000 UTC m=+38221.286815850,1695470904,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:09:24.282195826 +0000 UTC m=+38281.250270075,1695470964,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:10:24.840162382 +0000 UTC m=+38341.808236620,1695471024,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:11:24.569220775 +0000 UTC m=+38401.537295020,1695471084,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:12:24.722896272 +0000 UTC m=+38461.690970513,1695471144,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:13:24.858481747 +0000 UTC m=+38521.826555985,1695471204,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:14:24.653988801 +0000 UTC m=+38581.622063051,1695471264,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:15:24.537457432 +0000 UTC m=+38641.505531670,1695471324,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:16:24.488689841 +0000 UTC m=+38701.456764107,1695471384,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:17:24.485019874 +0000 UTC m=+38761.453094148,1695471444,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:18:24.79090431 +0000 UTC m=+38821.758978567,1695471504,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:19:24.214716395 +0000 UTC m=+38881.182790659,1695471564,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:20:25.025703538 +0000 UTC m=+38941.993777814,1695471625,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:21:24.599478137 +0000 UTC m=+39001.567552401,1695471684,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:22:24.700342028 +0000 UTC m=+39061.668416265,1695471744,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:23:24.568823856 +0000 UTC m=+39121.536898093,1695471804,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:24:24.584517719 +0000 UTC m=+39181.552591969,1695471864,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:25:24.509576792 +0000 UTC m=+39241.477651030,1695471924,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:26:24.666951886 +0000 UTC m=+39301.635026127,1695471984,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:27:24.458739933 +0000 UTC m=+39361.426814172,1695472044,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:28:24.479672607 +0000 UTC m=+39421.447746873,1695472104,100.0,100.0,100.0,88.88888888888891,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:29:25.317873693 +0000 UTC m=+39482.285947948,1695472165,100.0,100.0,100.0,85.71428571428572,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:30:24.467318732 +0000 UTC m=+39541.435392997,1695472224,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:31:24.332015461 +0000 UTC m=+39601.300089709,1695472284,100.0,,100.0,,100.0,100.0,100.0,100.0,100.0,,100.0,,100.0,100.0
