time,timestamp,frontend_shippingservice,frontend_cartservice,checkoutservice_productcatalogservice,checkoutservice_paymentservice,frontend_checkoutservice,recommendationservice_productcatalogservice,frontend_currencyservice,checkoutservice_shippingservice,frontend_productcatalogservice,checkoutservice_emailservice,frontend_adservice,frontend_recommendationservice,checkoutservice_currencyservice,checkoutservice_cartservice
2023-09-23 11:55:24.156278714 +0000 UTC m=+37441.124352979,1695470124,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 11:56:24.379848378 +0000 UTC m=+37501.347922626,1695470184,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 11:57:24.462101215 +0000 UTC m=+37561.430175481,1695470244,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 11:58:24.335766834 +0000 UTC m=+37621.303841073,1695470304,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 11:59:25.122818531 +0000 UTC m=+37682.090892776,1695470365,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:00:24.78146639 +0000 UTC m=+37741.749540644,1695470424,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:01:24.670334762 +0000 UTC m=+37801.638409009,1695470484,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:02:24.424949412 +0000 UTC m=+37861.393023659,1695470544,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:03:24.37358689 +0000 UTC m=+37921.341661147,1695470604,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:04:24.589929992 +0000 UTC m=+37981.558004249,1695470664,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:05:24.368696851 +0000 UTC m=+38041.336771097,1695470724,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:06:24.738484456 +0000 UTC m=+38101.706558694,1695470784,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:07:24.341707332 +0000 UTC m=+38161.309781579,1695470844,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:08:24.307823567 +0000 UTC m=+38221.275897806,1695470904,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:09:24.268651335 +0000 UTC m=+38281.236725600,1695470964,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:10:24.823311245 +0000 UTC m=+38341.791385511,1695471024,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:11:24.553442549 +0000 UTC m=+38401.521516795,1695471084,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:12:24.711918287 +0000 UTC m=+38461.679992525,1695471144,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:13:24.848537086 +0000 UTC m=+38521.816611350,1695471204,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:14:24.64144727 +0000 UTC m=+38581.609521548,1695471264,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:15:24.521347117 +0000 UTC m=+38641.489421372,1695471324,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:16:24.471236508 +0000 UTC m=+38701.439310775,1695471384,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:17:24.466980077 +0000 UTC m=+38761.435054321,1695471444,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:18:24.667604503 +0000 UTC m=+38821.635678749,1695471504,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:19:24.201831217 +0000 UTC m=+38881.169905456,1695471564,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:20:25.009535665 +0000 UTC m=+38941.977609903,1695471625,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:21:24.586224377 +0000 UTC m=+39001.554298615,1695471684,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:22:24.692044257 +0000 UTC m=+39061.660118515,1695471744,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:23:24.55555522 +0000 UTC m=+39121.523629459,1695471804,100.0,100.0,100.0,100.0,40.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:24:24.573801502 +0000 UTC m=+39181.541875773,1695471864,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:25:24.49744789 +0000 UTC m=+39241.465522145,1695471924,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:26:24.653689327 +0000 UTC m=+39301.621763566,1695471984,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:27:24.447417359 +0000 UTC m=+39361.415491625,1695472044,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:28:24.467533213 +0000 UTC m=+39421.435607453,1695472104,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:29:25.292394505 +0000 UTC m=+39482.260468742,1695472165,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 12:30:24.455780184 +0000 UTC m=+39541.423854440,1695472224,100.0,100.0,,,100.0,100.0,100.0,100.0,100.0,,79.27927927927928,100.0,,100.0
2023-09-23 12:31:24.319950733 +0000 UTC m=+39601.288024974,1695472284,100.0,100.0,,,,100.0,100.0,,100.0,,85.0,100.0,,
