time,timestamp,checkoutservice_shippingservice,checkoutservice_emailservice,frontend_recommendationservice,frontend_checkoutservice,checkoutservice_currencyservice,checkoutservice_cartservice,frontend_cartservice,frontend_productcatalogservice,frontend_shippingservice,checkoutservice_productcatalogservice,frontend_currencyservice,checkoutservice_paymentservice,frontend_adservice,recommendationservice_productcatalogservice
2023-09-23 21:37:24.655756466 +0000 UTC m=+72361.623830740,1695505044,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 21:38:25.125258857 +0000 UTC m=+72422.093333120,1695505105,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 21:39:24.592815359 +0000 UTC m=+72481.560889636,1695505164,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 21:40:24.609214032 +0000 UTC m=+72541.577288269,1695505224,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 21:41:24.655297877 +0000 UTC m=+72601.623372116,1695505284,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 21:42:24.684237268 +0000 UTC m=+72661.652311540,1695505344,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 21:43:25.281595332 +0000 UTC m=+72722.249669574,1695505405,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 21:44:24.439523091 +0000 UTC m=+72781.407597332,1695505464,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 21:45:24.695966862 +0000 UTC m=+72841.664041136,1695505524,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 21:46:24.671995041 +0000 UTC m=+72901.640069307,1695505584,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 21:47:24.364051008 +0000 UTC m=+72961.332125274,1695505644,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 21:48:24.948477224 +0000 UTC m=+73021.916551470,1695505704,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 21:49:24.591117529 +0000 UTC m=+73081.559191766,1695505764,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 21:50:24.657049365 +0000 UTC m=+73141.625123607,1695505824,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 21:51:24.687494547 +0000 UTC m=+73201.655568813,1695505884,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 21:52:24.605093701 +0000 UTC m=+73261.573167939,1695505944,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 21:53:25.034936027 +0000 UTC m=+73322.003010273,1695506005,100.0,100.0,100.0,50.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 21:54:24.717736874 +0000 UTC m=+73381.685811111,1695506064,100.0,100.0,100.0,88.88888888888891,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 21:55:24.993332628 +0000 UTC m=+73441.961406875,1695506124,100.0,100.0,100.0,66.66666666666667,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 21:56:24.824828482 +0000 UTC m=+73501.792902746,1695506184,100.0,100.0,100.0,33.333333333333336,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 21:57:24.588099871 +0000 UTC m=+73561.556174138,1695506244,100.0,100.0,100.0,66.66666666666666,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 21:58:24.67227036 +0000 UTC m=+73621.640344598,1695506304,100.0,100.0,100.0,62.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 21:59:24.795448164 +0000 UTC m=+73681.763522440,1695506364,100.0,100.0,100.0,85.71428571428572,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 22:00:25.238881173 +0000 UTC m=+73742.206955412,1695506425,100.0,100.0,100.0,72.72727272727272,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 22:01:24.646620598 +0000 UTC m=+73801.614694845,1695506484,100.0,100.0,100.0,16.666666666666668,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 22:02:24.64565021 +0000 UTC m=+73861.613724465,1695506544,100.0,100.0,100.0,66.66666666666667,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 22:03:24.762500428 +0000 UTC m=+73921.730574683,1695506604,100.0,100.0,100.0,75.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 22:04:24.427722063 +0000 UTC m=+73981.395796328,1695506664,100.0,100.0,100.0,50.00000000000002,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 22:05:25.193776398 +0000 UTC m=+74042.161850674,1695506725,100.0,100.0,100.0,66.66666666666667,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 22:06:24.663889103 +0000 UTC m=+74101.631963361,1695506784,100.0,100.0,100.0,55.555555555555564,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 22:07:24.990380846 +0000 UTC m=+74161.958455085,1695506844,100.0,100.0,100.0,50.00000000000002,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 22:08:24.842731367 +0000 UTC m=+74221.810805633,1695506904,100.0,100.0,100.0,66.66666666666667,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
