time,timestamp,frontend_recommendationservice,checkoutservice_emailservice,frontend_cartservice,checkoutservice_currencyservice,frontend_productcatalogservice,checkoutservice_productcatalogservice,checkoutservice_paymentservice,checkoutservice_cartservice,checkoutservice_shippingservice,frontend_checkoutservice,frontend_currencyservice,frontend_adservice,recommendationservice_productcatalogservice,frontend_shippingservice
2023-09-22 20:29:02.060075368 +0000 UTC m=+155503.763261053,1695414542,,,,,,,,,,,,,,
2023-09-22 20:30:01.810175989 +0000 UTC m=+155563.513361707,1695414601,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 20:31:01.709057724 +0000 UTC m=+155623.412243414,1695414661,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 20:32:01.833813339 +0000 UTC m=+155683.536999017,1695414721,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 20:33:01.796960578 +0000 UTC m=+155743.500146270,1695414781,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 20:34:01.847600113 +0000 UTC m=+155803.550785798,1695414841,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 20:35:01.533991372 +0000 UTC m=+155863.237177071,1695414901,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 20:36:01.662274026 +0000 UTC m=+155923.365459729,1695414961,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 20:37:01.818239269 +0000 UTC m=+155983.521424955,1695415021,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 20:38:01.827128496 +0000 UTC m=+156043.530314201,1695415081,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 20:39:01.510739616 +0000 UTC m=+156103.213925323,1695415141,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
