time,timestamp,frontend_shippingservice,frontend_cartservice,checkoutservice_productcatalogservice,checkoutservice_paymentservice,frontend_checkoutservice,recommendationservice_productcatalogservice,frontend_currencyservice,checkoutservice_shippingservice,frontend_productcatalogservice,checkoutservice_emailservice,frontend_adservice,frontend_recommendationservice,checkoutservice_currencyservice,checkoutservice_cartservice
2023-09-23 10:28:24.124931643 +0000 UTC m=+32221.093005900,1695464904,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 10:29:25.050833865 +0000 UTC m=+32282.018908135,1695464965,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 10:30:24.428337609 +0000 UTC m=+32341.396411857,1695465024,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 10:31:24.69488316 +0000 UTC m=+32401.662957398,1695465084,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 10:32:24.094548726 +0000 UTC m=+32461.062622965,1695465144,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 10:33:25.270282107 +0000 UTC m=+32522.238356373,1695465205,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 10:34:24.558377101 +0000 UTC m=+32581.526451340,1695465264,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 10:35:24.838551932 +0000 UTC m=+32641.806626176,1695465324,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 10:36:24.37237093 +0000 UTC m=+32701.340445176,1695465384,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 10:37:24.825094869 +0000 UTC m=+32761.793169109,1695465444,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 10:38:24.503114191 +0000 UTC m=+32821.471188465,1695465504,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 10:39:24.650522042 +0000 UTC m=+32881.618596288,1695465564,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 10:40:24.232431113 +0000 UTC m=+32941.200505358,1695465624,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 10:41:24.368903404 +0000 UTC m=+33001.336977670,1695465684,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 10:42:24.54900609 +0000 UTC m=+33061.517080336,1695465744,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 10:43:24.160004026 +0000 UTC m=+33121.128078292,1695465804,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-23 10:44:24.480201333 +0000 UTC m=+33181.448275599,1695465864,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,81.96721311475413,100.0,100.0
2023-09-23 10:45:25.001758367 +0000 UTC m=+33241.969832623,1695465925,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,86.55462184873949,100.0,100.0
2023-09-23 10:46:24.685228867 +0000 UTC m=+33301.653303137,1695465984,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,84.6136990514267,100.0,100.0
2023-09-23 10:47:24.986756665 +0000 UTC m=+33361.954830903,1695466044,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,82.14285714285717,100.0,100.0
2023-09-23 10:48:24.477681102 +0000 UTC m=+33421.445755367,1695466104,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.14851485148516,100.0,100.0
2023-09-23 10:49:25.150522202 +0000 UTC m=+33482.118596468,1695466165,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.55362382334884,100.0,100.0
2023-09-23 10:50:24.325090818 +0000 UTC m=+33541.293165058,1695466224,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,81.30841121495327,100.0,100.0
2023-09-23 10:51:24.941122448 +0000 UTC m=+33601.909196686,1695466284,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,83.15789473684211,100.0,100.0
2023-09-23 10:52:24.369466216 +0000 UTC m=+33661.337540464,1695466344,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.43689320388349,100.0,100.0
2023-09-23 10:53:25.006185544 +0000 UTC m=+33721.974259781,1695466405,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,76.72413793103449,100.0,100.0
2023-09-23 10:54:24.442252824 +0000 UTC m=+33781.410327081,1695466464,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,79.81651376146789,100.0,100.0
