time,timestamp,checkoutservice_currencyservice,frontend_recommendationservice,frontend_checkoutservice,recommendationservice_productcatalogservice,checkoutservice_shippingservice,frontend_shippingservice,checkoutservice_cartservice,checkoutservice_emailservice,checkoutservice_productcatalogservice,frontend_adservice,frontend_productcatalogservice,frontend_cartservice,frontend_currencyservice,checkoutservice_paymentservice
2023-09-22 19:49:02.28906394 +0000 UTC m=+153103.992249644,1695412142,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 19:50:01.64328188 +0000 UTC m=+153163.346467582,1695412201,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 19:51:01.680502958 +0000 UTC m=+153223.383688663,1695412261,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 19:52:01.740781577 +0000 UTC m=+153283.443967284,1695412321,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 19:53:01.818448901 +0000 UTC m=+153343.521634610,1695412381,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 19:54:01.599295267 +0000 UTC m=+153403.302480981,1695412441,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 19:55:01.855335538 +0000 UTC m=+153463.558521238,1695412501,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 19:56:01.556117663 +0000 UTC m=+153523.259303368,1695412561,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 19:57:01.829032179 +0000 UTC m=+153583.532217885,1695412621,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 19:58:01.707696393 +0000 UTC m=+153643.410882083,1695412681,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 19:59:01.491572574 +0000 UTC m=+153703.194758283,1695412741,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 20:00:01.859009186 +0000 UTC m=+153763.562194886,1695412801,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 20:01:01.711735005 +0000 UTC m=+153823.414920710,1695412861,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 20:02:02.023919919 +0000 UTC m=+153883.727105623,1695412922,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 20:03:01.584977717 +0000 UTC m=+153943.288163422,1695412981,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 20:04:01.739143741 +0000 UTC m=+154003.442329447,1695413041,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 20:05:01.630450887 +0000 UTC m=+154063.333636598,1695413101,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 20:06:01.493928911 +0000 UTC m=+154123.197114614,1695413161,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 20:07:02.14961285 +0000 UTC m=+154183.852798558,1695413222,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 20:08:01.903229836 +0000 UTC m=+154243.606415544,1695413281,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 20:09:01.683798534 +0000 UTC m=+154303.386984256,1695413341,100.0,100.0,0.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,
2023-09-22 20:10:01.687436246 +0000 UTC m=+154363.390621931,1695413401,,100.0,,100.0,,100.0,,,,100.0,100.0,100.0,100.0,
2023-09-22 20:11:01.502675525 +0000 UTC m=+154423.205861222,1695413461,,100.0,,100.0,,100.0,,,,100.0,100.0,100.0,100.0,
2023-09-22 20:12:02.042499505 +0000 UTC m=+154483.745685216,1695413522,,100.0,,100.0,,100.0,,,,100.0,100.0,100.0,100.0,
2023-09-22 20:13:01.841103727 +0000 UTC m=+154543.544289442,1695413581,100.0,100.0,0.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,
2023-09-22 20:14:01.608700318 +0000 UTC m=+154603.311886052,1695413641,,100.0,,100.0,,100.0,,,,100.0,100.0,100.0,100.0,
2023-09-22 20:15:01.816403509 +0000 UTC m=+154663.519589233,1695413701,,100.0,,100.0,,100.0,,,,100.0,100.0,100.0,100.0,
2023-09-22 20:16:01.612161815 +0000 UTC m=+154723.315347507,1695413761,,100.0,,100.0,,100.0,,,,100.0,100.0,100.0,100.0,
2023-09-22 20:17:01.803471163 +0000 UTC m=+154783.506656869,1695413821,,100.0,,100.0,,100.0,,,,100.0,100.0,100.0,100.0,
2023-09-22 20:18:01.785014936 +0000 UTC m=+154843.488200652,1695413881,,100.0,,100.0,,100.0,,,,100.0,100.0,100.0,100.0,
2023-09-22 20:19:02.257029837 +0000 UTC m=+154903.960215552,1695413942,,100.0,,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,
2023-09-22 20:20:01.82701077 +0000 UTC m=+154963.530196473,1695414001,,100.0,,100.0,,100.0,,,,100.0,100.0,100.0,100.0,
2023-09-22 20:21:01.615773022 +0000 UTC m=+155023.318958706,1695414061,,100.0,,100.0,,100.0,,,,100.0,100.0,100.0,100.0,
2023-09-22 20:22:01.861688235 +0000 UTC m=+155083.564873920,1695414121,,100.0,,100.0,,100.0,,,,100.0,100.0,100.0,100.0,
2023-09-22 20:23:01.837621276 +0000 UTC m=+155143.540806981,1695414181,,100.0,,100.0,,100.0,,,,100.0,100.0,100.0,100.0,
2023-09-22 20:24:02.124236102 +0000 UTC m=+155203.827421826,1695414242,100.0,100.0,25.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 20:25:01.999353592 +0000 UTC m=+155263.702539280,1695414301,100.0,100.0,,100.0,,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,
2023-09-22 20:26:01.74087908 +0000 UTC m=+155323.444064765,1695414361,100.0,100.0,,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,
