time,timestamp,frontend_recommendationservice,checkoutservice_emailservice,frontend_cartservice,checkoutservice_currencyservice,frontend_productcatalogservice,checkoutservice_productcatalogservice,checkoutservice_paymentservice,checkoutservice_cartservice,checkoutservice_shippingservice,frontend_checkoutservice,frontend_currencyservice,frontend_adservice,recommendationservice_productcatalogservice,frontend_shippingservice
2023-09-22 23:17:02.016221575 +0000 UTC m=+165583.719407263,1695424622,100.0,100.0,100.0,100.0,100.0,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 23:18:01.655196946 +0000 UTC m=+165643.358382633,1695424681,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 23:19:01.874991884 +0000 UTC m=+165703.578177577,1695424741,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 23:20:01.860902127 +0000 UTC m=+165763.564087832,1695424801,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 23:21:01.705409868 +0000 UTC m=+165823.408595566,1695424861,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 23:22:01.912171397 +0000 UTC m=+165883.615357084,1695424921,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 23:23:01.906449224 +0000 UTC m=+165943.609634909,1695424981,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 23:24:01.701031997 +0000 UTC m=+166003.404217704,1695425041,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 23:25:01.953121048 +0000 UTC m=+166063.656306733,1695425101,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 23:26:01.816612542 +0000 UTC m=+166123.519798247,1695425161,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 23:27:02.099370289 +0000 UTC m=+166183.802555975,1695425222,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 23:28:01.686850759 +0000 UTC m=+166243.390036444,1695425281,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 23:29:01.972012303 +0000 UTC m=+166303.675197986,1695425341,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 23:30:01.696720686 +0000 UTC m=+166363.399906372,1695425401,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 23:31:01.825035515 +0000 UTC m=+166423.528221197,1695425461,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 23:32:01.837513872 +0000 UTC m=+166483.540699575,1695425521,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 23:33:01.695934803 +0000 UTC m=+166543.399120514,1695425581,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 23:34:01.606894849 +0000 UTC m=+166603.310080542,1695425641,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 23:35:01.729020759 +0000 UTC m=+166663.432206476,1695425701,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 23:36:01.725968638 +0000 UTC m=+166723.429154354,1695425761,100.0,100.0,100.0,100.0,82.48175182481751,77.77777777777777,100.0,100.0,100.0,81.81818181818181,100.0,100.0,100.0,100.0
2023-09-22 23:37:01.924409075 +0000 UTC m=+166783.627594780,1695425821,100.0,100.0,100.0,100.0,83.33333333333334,84.21052631578948,100.0,100.0,100.0,75.00000000000001,100.0,100.0,100.0,100.0
2023-09-22 23:38:02.04243304 +0000 UTC m=+166843.745618744,1695425882,100.0,100.0,100.0,100.0,81.43564356435644,71.42857142857143,100.0,100.0,100.0,66.66666666666666,100.0,100.0,100.0,100.0
2023-09-22 23:39:01.746681485 +0000 UTC m=+166903.449867173,1695425941,100.0,100.0,100.0,100.0,81.64556962025316,86.66666666666669,100.0,100.0,100.0,72.72727272727273,100.0,100.0,100.0,100.0
2023-09-22 23:40:01.487229839 +0000 UTC m=+166963.190415552,1695426001,100.0,100.0,100.0,100.0,83.46613545816733,82.35294117647058,100.0,100.0,100.0,61.111111111111114,100.0,100.0,100.0,100.0
