time,timestamp,checkoutservice_currencyservice,frontend_recommendationservice,frontend_checkoutservice,recommendationservice_productcatalogservice,checkoutservice_shippingservice,frontend_shippingservice,checkoutservice_cartservice,checkoutservice_emailservice,checkoutservice_productcatalogservice,frontend_adservice,frontend_productcatalogservice,frontend_cartservice,frontend_currencyservice,checkoutservice_paymentservice
2023-09-22 23:17:02.005023702 +0000 UTC m=+165583.708209423,1695424622,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,95.1219512195122,100.0,100.0,100.0,
2023-09-22 23:18:01.646853232 +0000 UTC m=+165643.350038937,1695424681,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 23:19:01.863929617 +0000 UTC m=+165703.567115307,1695424741,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 23:20:01.84844028 +0000 UTC m=+165763.551625988,1695424801,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 23:21:01.688855831 +0000 UTC m=+165823.392041537,1695424861,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 23:22:01.899769116 +0000 UTC m=+165883.602954821,1695424921,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 23:23:01.89650231 +0000 UTC m=+165943.599688014,1695424981,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 23:24:01.685878364 +0000 UTC m=+166003.389064070,1695425041,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 23:25:01.940139898 +0000 UTC m=+166063.643325603,1695425101,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 23:26:01.804374146 +0000 UTC m=+166123.507559851,1695425161,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 23:27:02.088088262 +0000 UTC m=+166183.791273950,1695425222,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 23:28:01.674959887 +0000 UTC m=+166243.378145571,1695425281,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 23:29:01.96264491 +0000 UTC m=+166303.665830626,1695425341,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 23:30:01.683874717 +0000 UTC m=+166363.387060401,1695425401,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 23:31:01.815573822 +0000 UTC m=+166423.518759525,1695425461,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 23:32:01.824908422 +0000 UTC m=+166483.528094127,1695425521,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 23:33:01.683753797 +0000 UTC m=+166543.386939496,1695425581,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 23:34:01.597177112 +0000 UTC m=+166603.300362797,1695425641,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 23:35:01.718196357 +0000 UTC m=+166663.421382046,1695425701,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 23:36:01.714624398 +0000 UTC m=+166723.417810116,1695425761,100.0,100.0,50.0,100.0,100.0,100.0,100.0,100.0,88.46153846153845,100.0,82.90043290043289,100.0,100.0,100.0
2023-09-22 23:37:01.911950819 +0000 UTC m=+166783.615136545,1695425821,100.0,100.0,62.50000000000002,100.0,100.0,100.0,100.0,100.0,82.75862068965517,100.0,81.79824561403508,100.0,100.0,100.0
2023-09-22 23:38:02.034355099 +0000 UTC m=+166843.737540784,1695425882,100.0,100.0,71.42857142857143,100.0,100.0,100.0,100.0,100.0,89.99906701498107,100.0,80.52701205512562,100.0,100.0,100.0
2023-09-22 23:39:01.737846439 +0000 UTC m=+166903.441032142,1695425941,100.0,100.0,75.0,100.0,100.0,100.0,100.0,100.0,77.7777777777778,100.0,84.26724137931033,100.0,100.0,100.0
2023-09-22 23:40:01.474908463 +0000 UTC m=+166963.178094167,1695426001,100.0,100.0,75.0,100.0,100.0,100.0,100.0,100.0,83.33333333333334,100.0,82.32931726907631,100.0,100.0,100.0
2023-09-22 23:41:02.139495542 +0000 UTC m=+167023.842681255,1695426062,100.0,100.0,50.0,100.0,100.0,100.0,100.0,100.0,84.61538461538461,100.0,83.70535714285714,100.0,100.0,100.0
2023-09-22 23:42:02.057487455 +0000 UTC m=+167083.760673169,1695426122,100.0,100.0,57.14285714285714,100.0,100.0,100.0,100.0,100.0,64.28571428571428,100.0,84.94382022471909,100.0,100.0,100.0
2023-09-22 23:43:01.895509057 +0000 UTC m=+167143.598694741,1695426181,100.0,100.0,60.0,100.0,100.0,100.0,100.0,100.0,76.92307692307693,100.0,82.7188940092166,100.0,100.0,100.0
2023-09-22 23:44:01.978247638 +0000 UTC m=+167203.681433344,1695426241,100.0,100.0,66.66666666666667,100.0,100.0,100.0,100.0,100.0,80.64516129032258,100.0,81.859410430839,100.0,100.0,100.0
2023-09-22 23:45:01.986209153 +0000 UTC m=+167263.689394859,1695426301,100.0,100.0,66.66666666666667,100.0,100.0,100.0,100.0,100.0,70.83333333333333,100.0,79.42583732057416,100.0,100.0,100.0
2023-09-22 23:46:02.342159921 +0000 UTC m=+167324.045345626,1695426362,100.0,100.0,63.63636363636363,100.0,100.0,100.0,100.0,100.0,68.96494655786691,100.0,82.57221402119103,100.0,100.0,100.0
2023-09-22 23:47:02.008332001 +0000 UTC m=+167383.711517687,1695426422,100.0,100.0,87.5,100.0,100.0,100.0,100.0,100.0,92.30769230769229,100.0,81.96721311475409,100.0,100.0,100.0
2023-09-22 23:48:01.978259819 +0000 UTC m=+167443.681445527,1695426481,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,85.0,100.0,79.90543735224584,100.0,100.0,100.0
2023-09-22 23:49:01.791326078 +0000 UTC m=+167503.494511804,1695426541,100.0,100.0,83.33333333333334,100.0,100.0,100.0,100.0,100.0,90.0,100.0,83.33333333333333,100.0,100.0,100.0
2023-09-22 23:50:02.042533077 +0000 UTC m=+167563.745718782,1695426602,100.0,100.0,25.0,100.0,100.0,100.0,100.0,100.0,85.0,100.0,83.68298368298369,100.0,100.0,100.0
2023-09-22 23:51:01.779544378 +0000 UTC m=+167623.482730083,1695426661,100.0,100.0,50.0,100.0,100.0,100.0,100.0,100.0,72.22222222222223,100.0,82.92079207920791,100.0,100.0,100.0
2023-09-22 23:52:02.03132254 +0000 UTC m=+167683.734508233,1695426722,100.0,100.0,33.33333333333333,100.0,100.0,100.0,100.0,100.0,90.24390243902441,100.0,78.58880778588806,100.0,100.0,100.0
2023-09-22 23:53:02.006121326 +0000 UTC m=+167743.709307052,1695426782,100.0,100.0,77.7777777777778,100.0,100.0,100.0,100.0,100.0,82.3529411764706,82.75862068965517,82.8865979381443,100.0,100.0,100.0
2023-09-22 23:54:02.384435835 +0000 UTC m=+167804.087621543,1695426842,100.0,100.0,66.66666666666666,100.0,100.0,100.0,100.0,100.0,87.49895852427055,85.29411764705883,87.31269241431637,100.0,100.0,100.0
2023-09-22 23:55:01.990393091 +0000 UTC m=+167863.693578796,1695426901,100.0,100.0,37.49999999999999,100.0,100.0,100.0,100.0,100.0,63.15789473684211,83.33333333333333,64.13793103448275,100.0,100.0,100.0
2023-09-22 23:56:01.839331515 +0000 UTC m=+167923.542517219,1695426961,100.0,100.0,20.0,100.0,100.0,100.0,100.0,100.0,20.0,82.05128205128204,49.74619289340102,100.0,100.0,100.0
2023-09-22 23:57:02.031573647 +0000 UTC m=+167983.734759337,1695427022,100.0,100.0,33.33333333333333,100.0,100.0,,100.0,,37.49999999999999,100.0,39.333333333333336,100.0,100.0,
