Time,Timestamp,SuccessRate,Latency,CPUUsageRate(%),MemoryUsageRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%)
2023-09-23 20:56:24.10043133 +0000 UTC m=+69901.068505567,1695502584,100,3.1074292892888242,5.853271484375,13.62906632863724,17.684279087694563,2.2
2023-09-23 20:57:24.349852028 +0000 UTC m=+69961.317926264,1695502644,100,2.123237314262275,5.9539794921875,13.60469535109451,17.827401607841367,0.4375
2023-09-23 20:58:23.880092294 +0000 UTC m=+70020.848166531,1695502703,100,4.64272276395825,6.0546875,13.367045933438293,17.9785011288554,0.226
2023-09-23 20:59:23.919886135 +0000 UTC m=+70080.887960372,1695502763,100,3.236845473675261,6.0546875,13.530922409833245,17.746924158725243,0.6500000000000002
2023-09-23 21:00:23.92320841 +0000 UTC m=+70140.891282647,1695502823,100,4.659097542871771,6.45751953125,13.76069456736796,17.952228254439497,0.4
2023-09-23 21:01:23.887337705 +0000 UTC m=+70200.855411941,1695502883,100,2.1504022007762873,6.45751953125,13.000886712008919,17.888485430995893,0.2275
2023-09-23 21:02:23.950855379 +0000 UTC m=+70260.918929616,1695502943,100,4.317763901795614,6.5582275390625,12.935911508966191,17.841062526757714,0.4
2023-09-23 21:03:23.987843567 +0000 UTC m=+70320.955917804,1695503003,100,1.5796436749999976,6.5582275390625,13.565760594307275,17.9359571242302,0.22
2023-09-23 21:04:24.01225262 +0000 UTC m=+70380.980326856,1695503064,100,3.0814581142578477,7.1624755859375,13.198783989240681,17.947227382336187,0.4625
2023-09-23 21:05:23.877373627 +0000 UTC m=+70440.845447863,1695503123,100,4.032207337793362,7.3638916015625,13.107001097882309,17.939347959461223,0.20500000000000002
2023-09-23 21:06:23.980238074 +0000 UTC m=+70500.948312310,1695503183,100,3.8560337968370932,7.3638916015625,13.238710767540452,17.753413095210508,0.5999999999999999
2023-09-23 21:07:23.919419775 +0000 UTC m=+70560.887494015,1695503243,100,5.457780650769993,7.3638916015625,13.054488667514153,17.97159748590303,0.8500000000000001
2023-09-23 21:08:23.916096708 +0000 UTC m=+70620.884170945,1695503303,100,5.322750767396812,7.3638916015625,13.119952644667432,17.895120734469547,0.375
2023-09-23 21:09:23.985378539 +0000 UTC m=+70680.953452777,1695503363,100,4.222653279912511,7.464599609375,13.150337837853144,17.909781827806555,0.4
2023-09-23 21:10:24.019785772 +0000 UTC m=+70740.987860008,1695503424,100,4.372638257791988,7.464599609375,13.357522571936942,17.98647812972262,0.6500000000000002
2023-09-23 21:11:24.152447681 +0000 UTC m=+70801.120521919,1695503484,100,2.2640392000000005,7.464599609375,13.138901785360058,17.98298971649934,0.42500000000000004
2023-09-23 21:12:24.00631271 +0000 UTC m=+70860.974386946,1695503544,100,3.900457173894878,7.5653076171875,13.897446718692407,17.15186916742798,0.42500000000000004
2023-09-23 21:13:23.980119595 +0000 UTC m=+70920.948193832,1695503603,100,4.363735849673201,7.5653076171875,13.827045752179757,17.720187788846104,0.9500000000000002
2023-09-23 21:14:23.906229939 +0000 UTC m=+70980.874304176,1695503663,100,4.363260506760862,7.5653076171875,13.303703703743475,17.730726212010143,0.2275
2023-09-23 21:16:23.994561109 +0000 UTC m=+71100.962635352,1695503783,100,3.3362590235645695,7.666015625,13.28035842595674,17.90980622230462,0.235
2023-09-23 21:17:23.943520538 +0000 UTC m=+71160.911594778,1695503843,100,4.649727811314831,7.666015625,13.275680236260158,17.88389926535969,0.4375
2023-09-23 21:18:23.95556303 +0000 UTC m=+71220.923637269,1695503903,100,4.132023018979578,7.666015625,13.360101437059823,17.922906067765474,0.4625
2023-09-23 21:19:23.927905571 +0000 UTC m=+71280.895979808,1695503963,100,3.7558641577726126,7.666015625,13.56311171117156,17.939396748457355,0.235
2023-09-23 21:20:23.851085962 +0000 UTC m=+71340.819160199,1695504023,100,4.8310931371039905,7.666015625,13.326860568206966,17.968670146135242,0.23125
2023-09-23 21:21:23.982726505 +0000 UTC m=+71400.950800742,1695504083,100,3.4799403402133042,7.666015625,12.897631133719955,17.840111141333185,0.8500000000000001
2023-09-23 21:22:23.974273769 +0000 UTC m=+71460.942348012,1695504143,100,3.1179666428409254,7.666015625,13.479491403695032,17.883728503873236,0.4625
2023-09-23 21:23:23.963655948 +0000 UTC m=+71520.931730185,1695504203,100,3.099283994526069,7.666015625,13.097202826745125,17.94056768436447,0.4
2023-09-23 21:24:23.976151357 +0000 UTC m=+71580.944225595,1695504263,100,3.2035087876739907,7.666015625,13.220424671392905,17.822205579753543,0.42500000000000004
