time,timestamp,checkoutservice_currencyservice,frontend_recommendationservice,frontend_checkoutservice,recommendationservice_productcatalogservice,checkoutservice_shippingservice,frontend_shippingservice,checkoutservice_cartservice,checkoutservice_emailservice,checkoutservice_productcatalogservice,frontend_adservice,frontend_productcatalogservice,frontend_cartservice,frontend_currencyservice,checkoutservice_paymentservice
2023-09-22 17:03:01.388107215 +0000 UTC m=+143143.091292919,1695402181,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 17:04:01.882926245 +0000 UTC m=+143203.586111930,1695402241,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 17:05:01.689761909 +0000 UTC m=+143263.392947619,1695402301,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 17:06:01.43680695 +0000 UTC m=+143323.139992638,1695402361,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 17:07:01.639015732 +0000 UTC m=+143383.342201437,1695402421,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 17:08:01.57200335 +0000 UTC m=+143443.275189056,1695402481,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 17:09:01.355258942 +0000 UTC m=+143503.058444647,1695402541,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 17:10:01.523597946 +0000 UTC m=+143563.226783631,1695402601,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 17:11:01.655385061 +0000 UTC m=+143623.358570774,1695402661,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 17:12:01.594730448 +0000 UTC m=+143683.297916150,1695402721,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 17:13:01.432150558 +0000 UTC m=+143743.135336253,1695402781,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 17:14:01.383528605 +0000 UTC m=+143803.086714288,1695402841,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 17:15:01.266627644 +0000 UTC m=+143862.969813349,1695402901,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 17:16:01.468058893 +0000 UTC m=+143923.171244597,1695402961,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 17:17:01.707505852 +0000 UTC m=+143983.410691539,1695403021,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 17:18:01.613968143 +0000 UTC m=+144043.317153859,1695403081,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 17:19:01.557870268 +0000 UTC m=+144103.261055976,1695403141,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 17:20:01.743898359 +0000 UTC m=+144163.447084060,1695403201,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-09-22 17:21:01.599624012 +0000 UTC m=+144223.302809699,1695403261,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
